id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
3318,VE85,small_airport,Bentayan Airport,23.0951004,75.88529968,1666,IN-MP,Ujjain,0,,,46
32592,VOVR,small_airport,Vellore Airport,12.90880013,79.06680298,764,IN-TN,Vellore,0,VOVR,,46
32647,VOWA,small_airport,Warangal Airport,17.9144,79.602203,935,IN-TG,Warangal,0,VOWA,WGC,46
35130,IN-0002,heliport,Tawang Air Force Station,27.58846092,91.87769318,8756,IN-AR,,0,,,21
35129,IN-0001,heliport,Siachen Glacier AFS Airport,35.5,77,22000,IN-JK,,0,,,21
26497,VECO,small_airport,Cooch Behar Airport,26.33049965,89.46720123,138,IN-WB,,0,VECO,COH,-3
42731,IN-0010,small_airport,Walong Advanced Landing Ground,28.129673,97.01966095,,IN-AR,,0,,,-4
301058,IN-0075,heliport,Itanagar (Naharlagun),27.111675,93.69610556,,IN-AR,,0,,,-4
301059,IN-0076,heliport,Itanagar (Naharlagun),27.111675,93.69610556,466,IN-AR,,0,,,-4
46282,IN-0016,closed,Ledo Airfield,27.3025,95.737222,,IN-AS,,0,,,-4
46285,IN-0019,closed,Dinjan Airfield,27.538017,95.269447,,IN-AS,,0,,,-4
300448,IN-0066,small_airport,Madhubani Airport,26.32916667,86.06,,IN-BR,,0,,,-4
300449,IN-0067,small_airport,Madhubani Airport,26.32916667,86.06,,IN-BR,,0,,,-4
311047,IN-0091,small_airport,saharsa airstrip,25.89194444,86.5825,,IN-BR,,0,,,-4
301046,IN-0072,small_airport,Raigarh Airport (JSPL),21.93528056,83.35021389,,IN-CT,,0,,,-4
330834,IN-0103,small_airport,INDRA GANDHI AIRPORT,0,0,,IN-DL,,0,,,-4
306912,IN-0081,heliport,Annandale Helipad,31.11138889,77.15694444,6120,IN-HP,,0,,,-4
306913,IN-0082,heliport,Ajog Helipad,32.92194444,76.458,7460,IN-HP,,0,,,-4
309944,IN-0089,small_airport,Noamundi Airport,22.19222222,85.54888889,,IN-JH,,0,,,-4
42717,IN-0004,heliport,Leh Helipad,34.12866974,77.53653717,10682,IN-JK,,0,,,-4
301040,IN-0070,small_airport,Vijayanagar Aerodrome (JSW),15.17496667,76.63494722,1670,IN-KA,,0,VOJV,VDY,-4
301043,IN-0071,small_airport,Baldota Koppal Aerodrome,15.36009444,76.22005278,,IN-KA,,0,,,-4
330867,IN-0104,medium_airport,@@ Online Istikhara for Love Problem +91-9828783978 (>,0,0,,IN-KA,,1,,,-4
315328,IN-0095,heliport,Perunad Helipad,9.3539,76.86489,,IN-KL,,1,,,-4
42729,IN-0008,heliport,Kavaratti Helipad,10.54166794,72.61604309,,IN-LD,,0,,,-4
44582,IN-0015,small_airport,Baljek Airport,25.66148758,90.34503937,,IN-ML,,1,,,-4
325010,IN-0102,closed,Erase Me 16,-0.5,0,,IN-MM,,0,,,-4
44475,IN-0014,closed,Koirengei Airstrip,24.87245941,93.92568207,,IN-MN,,0,,,-4
46623,IN-0060,small_airport,Khargon Govt. Airstrip,21.81003019,75.55443764,,IN-MP,,0,,,-4
309587,IN-0086,small_airport,CHINDWARA AIRFIELD,22,78.93,,IN-MP,,0,,,-4
46550,IN-0027,heliport,Thuampui Helipad,23.74586667,92.73673333,3214,IN-MZ,,0,,,-4
46551,IN-0028,heliport,Pukpui Helipad,22.94226667,92.76885,,IN-MZ,,0,,,-4
46552,IN-0029,heliport,Lunglei Helipad,22.86838333,92.7633,,IN-MZ,,0,,,-4
46554,IN-0031,heliport,Vairengte Helipad,24.47891667,92.75393333,,IN-MZ,,0,,,-4
301049,IN-0073,small_airport,Angul Airport (JSPL),20.91195,85.03258333,,IN-OR,,0,,,-4
311049,IN-0092,small_airport,Jajpur ( Sukinda ) Airstrip,21.03194444,85.75388889,400,IN-OR,,0,,,-4
311106,IN-0093,small_airport,Vedanta Lanjigarh Airstrip,19.71944444,83.39361111,,IN-OR,,0,,,-4
312280,IN-0094,closed,no airport,20.46668667,83.48333056,,IN-OR,,0,,,-4
308280,IN-0084,closed,Salwas,26.141647,73.097062,,IN-RJ,,0,,,-4
308281,IN-0085,small_airport,Airport,26.436257,73.102823,,IN-RJ,,0,,,-4
